06:34:09 | DEBUG    | MainThread | [EXT-ASSET] panda-css.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] www.youtube-nocookie.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] zagjs.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] motion.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] animejs.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] animate.style
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] svelte.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] motion.dev
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] animejs.com
06:34:09 | DEBUG    | MainThread | [EXT-ASSET] animate.style
